data_file,gt,predict,wer
asr_data/John/1/Go Payment.wav,go payment,go payment,0.0
asr_data/John/1/Hi.wav,hi,hi,0.0
asr_data/John/1/Home.wav,home,home,0.0
asr_data/John/1/NFC.wav,nfc,nfc,0.0
asr_data/John/1/Next Time.wav,next time,next time,0.0
asr_data/John/1/Next.wav,next,next yoother,1.0
asr_data/John/1/Setting.wav,setting,in setting,1.0
asr_data/John/1/Use Coupon.wav,use coupon,use coupon,0.0
asr_data/John/1/Use Now.wav,use now,use now,0.0
asr_data/John/1/Show Coupon.wav,show coupon,show coupon,0.0
asr_data/John/2/Add.wav,add,add,0.0
asr_data/John/2/Back.wav,back,back,0.0
asr_data/John/2/Done.wav,done,done,0.0
asr_data/John/2/Go Payment.wav,go payment,go payment,0.0
asr_data/John/2/Hi.wav,hi,hi,0.0
asr_data/John/2/Home.wav,home,hey,1.0
asr_data/John/2/NFC.wav,nfc,nfc,0.0
asr_data/John/2/Next Time.wav,next time,next time,0.0
asr_data/John/2/Next.wav,next,hi done make the xon without it payment,8.0
asr_data/John/2/Setting.wav,setting,setting,0.0
asr_data/John/2/Use Coupon.wav,use coupon,use coupon,0.0
asr_data/John/2/Use Now.wav,use now,use now,0.0
asr_data/John/2/Show Coupon.wav,show coupon,hi show coupon,0.5
asr_data/Sam/1/Add.wav,add,eight,1.0
asr_data/Sam/1/Back.wav,back,back,0.0
asr_data/Sam/1/Done.wav,done,dumb,1.0
asr_data/Sam/1/Hi.wav,hi,hi,0.0
asr_data/Sam/1/Home.wav,home,harm,1.0
asr_data/Sam/1/NFC.wav,nfc,add ic,2.0
asr_data/Sam/1/Next.wav,next,next,0.0
asr_data/Sam/1/Setting.wav,setting,setting,0.0
asr_data/Sam/1/Go Payment.wav,go payment,go payment,0.0
asr_data/Sam/1/Next Time.wav,next time,next time,0.0
asr_data/Sam/1/Show Coupon.wav,show coupon,show coupon,0.0
asr_data/Sam/1/Use Coupon.wav,use coupon,use coupon,0.0
asr_data/Sam/1/Use Now.wav,use now,you now,0.5
asr_data/Sam/2/Add.wav,add,eight,1.0
asr_data/Sam/2/Back.wav,back,back,0.0
asr_data/Sam/2/Done.wav,done,dumb,1.0
asr_data/Sam/2/Hi.wav,hi,hi,0.0
asr_data/Sam/2/Home.wav,home,hall,1.0
asr_data/Sam/2/NFC.wav,nfc,nfc,0.0
asr_data/Sam/2/Next.wav,next,next,0.0
asr_data/Sam/2/Setting.wav,setting,seventeen,1.0
asr_data/Sam/2/Go payment.wav,go payment,go payment,0.0
asr_data/Sam/2/Next Time.wav,next time,hi time,0.5
asr_data/Sam/2/Show Coupon.wav,show coupon,show coupon,0.0
asr_data/Sam/2/Use Coupon.wav,use coupon,use coupon,0.0
asr_data/Sam/2/Use Now.wav,use now,use now,0.0
avg,,,0.27933
Accuracy,72.31%,94,130
